Country Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Nigeria,2.93432E+11,3.23487E+11,3.71531E+11,4.2372E+11,4.8359E+11,4.27298E+11,3.54206E+11,3.21489E+11,3.48409E+11,3.75139E+11,3.63361E+11,3.63312E+11
North Macedonia,7297416135,8241665635,7580941181,8526422528,9017498360,7950976174,8404700872,9045313211,10054735758,9927186726,9885678163,11015539375
Northern Mariana Islands,,,,,,,,,,,,
Norway,3.38819E+11,3.85312E+11,3.97507E+11,4.12849E+11,4.0167E+11,3.17757E+11,3.0609E+11,3.25972E+11,3.5318E+11,3.24345E+11,2.90222E+11,3.78328E+11
Oman,35677488139,38236352519,45465025430,48156584313,50531647043,51311067027,50684475111,53061502389,61210911185,59074357920,54445023707,56515483862
Pakistan,1.61091E+11,1.96247E+11,2.0613E+11,2.13156E+11,2.26182E+11,2.51937E+11,2.92508E+11,3.16585E+11,3.31564E+11,2.98462E+11,2.79591E+11,3.26464E+11
Palau,,,,,,,,,,,,
Panama,25421213995,30811065356,35559306951,40214085486,42846236178,47414115416,50088703129,54241266331,55055132794,56472425763,46755627626,51479784106
Papua New Guinea,9592477405,12112819866,16795014154,16734420326,19093098796,17539612761,16991954426,18227358088,19255880963,19309314573,19538494315,18341899499
Paraguay,22917124911,28785379968,28116646134,33153449793,35311098984,31841843065,31926224463,34829795498,35889215057,33840040283,31353709366,35184118794
Peru,1.21189E+11,1.39512E+11,1.5985E+11,1.70277E+11,1.71874E+11,1.64297E+11,1.6245E+11,1.75604E+11,1.83694E+11,1.9578E+11,1.73421E+11,1.70492E+11
Philippines,2.06136E+11,2.30737E+11,2.62568E+11,2.87332E+11,2.99541E+11,3.11491E+11,3.23896E+11,3.33702E+11,3.50372E+11,3.75755E+11,3.50838E+11,3.61504E+11
Poland,4.00178E+11,4.40249E+11,4.18875E+11,4.35406E+11,4.54514E+11,4.03153E+11,3.95104E+11,4.40873E+11,4.9558E+11,5.02711E+11,5.05329E+11,5.69915E+11
Portugal,1.89704E+11,1.97812E+11,1.72174E+11,1.83928E+11,1.84942E+11,1.59627E+11,1.65809E+11,1.77819E+11,1.93659E+11,1.91199E+11,1.79901E+11,2.00175E+11
Puerto Rico,,,,,,,,,,,,
Qatar,76789644297,1.03226E+11,1.18906E+11,1.31786E+11,1.42482E+11,1.20141E+11,1.15702E+11,1.22517E+11,1.33381E+11,1.28532E+11,1.06757E+11,1.29445E+11
Romania,1.36666E+11,1.51794E+11,1.40747E+11,1.49857E+11,1.59985E+11,1.42884E+11,1.48533E+11,1.69615E+11,1.95265E+11,2.0394E+11,2.08103E+11,2.33181E+11
Russian Federation,1.21992E+12,1.62386E+12,1.75197E+12,1.80641E+12,1.61208E+12,1.08389E+12,1.01459E+12,1.2407E+12,1.28126E+12,1.30611E+12,1.19356E+12,1.3239E+12
Rwanda,5020477758,5627671313,6215412417,6305084646,6609315654,6950737986,7006635238,7342473063,7743683362,8375800501,8275811726,8997489878
Samoa,597791302.6,650675205,681786053.8,703397165.2,697008747.2,732622037.8,749022895.4,781055843,776983684.6,802205352,764279668.6,756550038.5
San Marino,,,,,,,,,,,,
Sao Tome and Principe,179650661.7,216046386.1,227210082,187936536,252421424.3,183054802.4,227148144.5,265731945.3,300976439.8,316807906.2,369456756,426049350.5
Saudi Arabia,4.30666E+11,5.2405E+11,5.73184E+11,5.82966E+11,5.99086E+11,5.29731E+11,5.36121E+11,5.68764E+11,6.70841E+11,6.66881E+11,5.94398E+11,
Senegal,14339035934,15586284232,15321593740,16449301327,17245451502,15503087530,16551134293,18404630535,20196827765,20296897126,21283050736,23712074300
Serbia,34805712687,39590640930,35127491040,39658299596,38695720368,32529189658,33028807360,35288389718,40979555733,41260282499,43818210166,50790254321
Seychelles,812404849.8,868403593.2,875995695.6,1102533984,1132657343,1155276355,1189645617,1261706748,1338051824,1402402857,1055789917,1216133029
Sierra Leone,2237782095,2480971832,3423910967,4335850729,4296266934,3571359705,2682110684,3044179637,3304164056,3548194135,3463442966,3449813486
Singapore,2.04484E+11,2.31597E+11,2.40709E+11,2.46827E+11,2.58486E+11,2.39432E+11,2.49606E+11,2.64946E+11,2.70692E+11,2.63599E+11,2.32325E+11,2.76441E+11
Sint Maarten (Dutch part),,,,,,,,,,,,
Slovak Republic,72674385063,78696197512,76350742253,80562431640,82514301615,71566116397,72101649694,77501395416,86557273960,85375444091,86659509832,94707685029
Slovenia,37901850916,40461299931,35958281524,37458819963,39072328486,32810818836,34571099506,38218334453,43089724467,43437488661,42775346262,49526101070
Solomon Islands,775140217.8,870355030.5,994282594.2,1169175419,1203350923,1178042357,1226274111,1313702711,1457210983,1467036933,1437751517,1505399373
Somalia,,,,3419849257,3733787361,3925747293,4033585271,4134581303,4723036573,5296090058,5539399205,6155445283
South Africa,3.37741E+11,3.67432E+11,3.50324E+11,3.2201E+11,3.09056E+11,2.86513E+11,2.64151E+11,3.11854E+11,3.2915E+11,3.16519E+11,2.73914E+11,3.39553E+11
South Sudan,,3068090192,10421618352,15145557127,8927272471,8655235712,,,,,,
Spain,1.18707E+12,1.22525E+12,1.10226E+12,1.13039E+12,1.14809E+12,1.00862E+12,1.04541E+12,1.1124E+12,1.20699E+12,1.1843E+12,1.05728E+12,1.19101E+12
Sri Lanka,54408057930,62684111325,64600135304,69880527350,74624464525,77120577631,79670269197,85121595617,85294116836,80057332389,76513221048,80018415420
St. Kitts and Nevis,,,,,,,,,,,,
St. Lucia,1219395050,1334842486,1310493043,1283388999,1365613966,1324575105,1419675224,1501396916,1618635196,1625946753,1246308828,1366615022
St. Martin (French part),,,,,,,,,,,,
St. Vincent and the Grenadines,605542890.1,581076000.1,595188341.3,624998655.9,607281265.7,647038947.4,676574176.9,704672569.7,738951949.1,752856023.9,723205785.2,749251352.2
Sudan,,59920693438,54296648798,55536789622,69120396423,76066047562,92667786152,1.14709E+11,27747607132,27327201501,22706140261,28763839535
Suriname,3006908029,2502094727,2998018111,3500942731,3897502195,4212584420,2311942541,2145542435,2789880133,2876593588,1933016759,1935667027
Sweden,4.23787E+11,4.88078E+11,4.70537E+11,5.0008E+11,4.95514E+11,4.25025E+11,4.32748E+11,4.59033E+11,4.70799E+11,4.58008E+11,4.69239E+11,5.39858E+11
Switzerland,4.94464E+11,5.59017E+11,5.47937E+11,5.61778E+11,5.65016E+11,5.49516E+11,5.33121E+11,5.33068E+11,5.38181E+11,5.36713E+11,5.43958E+11,6.06112E+11
Syrian Arab Republic,2.17911E+11,50128321751,34274026058,17313410633,18267655190,14164850310,11188892697,14690012611,19283835785,20462312512,10089108768,
Tajikistan,5875607868,6911022062,8288569242,9210747944,9853208338,8901359504,7470805604,8152614086,8188239803,8491672143,8294658056,9055722664
Tanzania,25672665820,26727541914,28964239475,35353915641,40084310796,39194492138,41504598991,45203555661,49866836754,54736149745,55510232274,59188718347
Thailand,2.70202E+11,2.96588E+11,3.07802E+11,3.17456E+11,3.09976E+11,3.06808E+11,3.19338E+11,3.53848E+11,3.89678E+11,4.24075E+11,3.89836E+11,3.86827E+11
Timor-Leste,,,,,,1616381802,1495162221,1554530766,1305192008,1830151356,1592846197,564159462.3
Togo,2858218910,3239207257,2881738605,3462997011,3799715491,3655283022,5260457102,5584433213,6393803054,6515480813,6814681944,7389560188
