Country Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Middle East & North Africa (IDA & IBRD countries),218.5916336,247.7863151,256.1980977,246.2596705,246.1723762,236.724193,261.6462055,255.7200927,267.9055475,247.8152046,234.2747029,257.3886557
Middle income,179.5883403,208.6360859,221.8664659,237.7488561,245.9336939,240.6714457,238.9978413,258.1202576,271.4941612,278.995698,283.2695468,320.8149078
Moldova,198,215,224,232,231,186,171,244,276,284,307,410
Monaco,8013.045898,8302.916992,7871.212402,8460.787109,8682.369141,7347.916992,7189.657715,7219.591797,7848.356445,7730.603516,7812.287598,8634.259766
Mongolia,99.48032379,136.0482483,169.8409576,180.8419952,177.3183441,165.8491516,169.039856,160.9210815,188.8626556,197.5519562,188.5712433,315.5798035
Montenegro,,572,536,596,579,577,596,612,727,732,866,985
Morocco,168.3771057,179.0485382,172.0593872,179.734848,188.4002075,162.5098114,161.8278351,166.4662323,175.2760315,177.245575,193.102356,221.1148529
Mozambique,26.17583847,30.28253746,35.03115845,41.17826843,43.08488846,39.91206741,31.38208961,36.26471329,40.8117218,40.41284943,34.37060928,44.52215576
Myanmar,20,27,37,37,54,63,59,59,60,62,72,65
Namibia,522.1591187,569.1429443,557.5895996,495.1951294,466.1987915,495.6297913,430.2160645,475.5820313,472.9901428,432.1457825,378.4246826,456.4360046
Nauru,614.1340942,659.4338989,859.048645,818.1156006,746.3569946,959.4884644,957.2859497,1092.876343,1175.686768,1158.770874,1318.165039,1529.519165
Nepal,30,34,34,35,42,47,47,49,50,53,58,65
Netherlands,5192,5562,5285,5533,5602,4677,4644,4935,5331,5341,5858,6539
New Caledonia,,,,,,,,,,,,
New Zealand,3233.778564,3656.730713,3856.173096,4014.974609,4192.743652,3600.956299,3739.401367,3903.68042,3957.86084,4085.788086,4223.22168,4906.070801
Nicaragua,115.3239517,122.5347595,130.779007,137.0984192,152.6446991,161.2770081,167.3703613,177.1500092,168.4451294,161.9863434,161.1998138,198.0779266
